id,article_label,article_text,language
108,Article 36: Peine de travaux d'intérêt général en cas de défaut par le condamné de se conformer à la décision judiciaire,"Lorsque la juridiction prononce une condamnation à l'amende, aux frais de justice, à tout paiement au profit du trésor public, à des restitutions ou à des dommages-intérêts envers une partie civile, elle fixe la durée de la peine de travaux d'intérêt général dans le cas où le condamné ne serait pas en mesure d'exécuter les condamnations prononcées par la juridiction contre lui. Lorsque la juridiction ordonne les restitutions ou le paiement des dommages-intérêts au bénéfice de la victime, les travaux d'intérêt général n'excluent pas le droit de la victime à ces restitutions ou dommages-intérêts. Le condamné à la peine de travaux d'intérêt général est libéré de cette peine s'il parvient à payer.",fr
109,Ingingo ya 37: Ubunyagwe bwihariye,"Igihe hakozwe icyaha cy'ubugome cyangwa icyaha gikomeye, kunyagwa kw'ibintu bigize icyaha, ibyagikoreshejwe, ibyagenewe kugikora cyangwa ibyagikomotseho, cyangwa igihembo kijyanye no gukora icyaha byemezwa mu icibwa ry'urubanza, bikongerwa ku gihano cy'iremezo, iyo ibyo bintu ari iby'uwakatiwe. Iyo atari iby'uwakatiwe cyangwa iyo icyaha cyakozwe ari icyoroheje, ubunyagwe bwemezwa gusa mu bihe biteganywa n'amategeko.",rw
110,Article 37: Special confiscation,"In case a felony or a misdemeanour is committed, confiscation of items regarded as forming the corpus delicti, those used or intended for use in the commission of the offence, or those regarded as the proceeds from the commission of the offence is imposed as an accessory penalty in addition to the principal penalty if such items belong to the convict. If such items do not belong to the convict or if the offence committed is a petty offence, the confiscation is ordered only in cases specified by the law.",en
111,Article 37: Confiscation spéciale,"Lorsqu'un crime ou un délit est commis, la confiscation des biens qui forment le corps de l'infraction, qui ont servi ou qui sont destinés à la commettre ou qui ont été produits par la commission de l'infraction, est prononcée accessoirement à la peine principale, lorsque ces biens appartiennent au condamné. Lorsqu'ils ne lui appartiennent pas ou lorsque l'infraction commise est une contravention, la confiscation n'est prononcée que dans les cas prévus par la loi.",fr
112,Ingingo ya 38: Ibuzwa ry'inyagwa rusange,"Inyagwa rusange ry'ibintu byose uwahanwe atunze n'ubw'ibyo ashobora kuzatunga, rirabujijwe.",rw
113,Article 38: Prohibition of the general confiscation,The general confiscation of all the convict's current and future property is prohibited.,en
114,Article 38: Interdiction de la confiscation générale,La confiscation générale portant sur la totalité du patrimoine présent et futur du condamné est interdite.,fr
115,Ingingo ya 39: Imicungire y'ibintu byanyazwe,Ibintu byanyazwe bishyirwa mu maboko ya Leta. Iteka rya Minisitiri ufite ubutabera mu nshingano ze rigena uburyo ibintu byanyazwe bicungwa.,rw
116,Article 39: Administration of confiscated property,Confiscated property is put into the hands of the State. An Order of the Minister in charge of justice determines modalities for the administration of confiscated property.,en
117,Article 39: Administration des biens confisqués,Les biens confisqués sont remis à l'État. Un arrêté du Ministre ayant la justice dans ses attributions fixe les modalités d'administration des biens confisqués.,fr
118,Ingingo ya 40: Itangwa ry'igihano cyo kubuza cyangwa gutegeka kuba ahantu,"Uretse igihe itegeko ribiteganya ukundi, urukiko rushobora kubuza cyangwa gutegeka umuntu kuba ahantu mu bihe bikurikira: 1º iyo umuntu yahanishijwe igifungo kirenze imyaka itanu (5); 2º iyo umuntu wigeze guhanishwa igifungo kingana cyangwa kirenze amezi atandatu (6), yongeye guhanishwa igifungo kingana cyangwa kirenze amezi atandatu (6) mu myaka itanu (5) kuva arangije icyo gihano cyangwa igihe cyo gukurikirana irangiza ryacyo cyararenze. Kubuza kuba ahantu cyangwa gutegeka kuba ahantu ntibishobora kurenza igihe cy'umwaka umwe (1).",rw
119,Article 40: Imposition of the penalty of ban on residence or compulsory residence in a particular location,"Unless the law provides otherwise, the court may order ban on residence or compulsory residence in a particular location in the following cases: 1º if a person is sentenced to imprisonment for a term of more than five (5) years; 2º if a person who, having been sentenced to imprisonment for a term equal to or more than six (6) months, is sentenced again to imprisonment for a term equal to or more than six (6) months within five (5) years of the execution of such a penalty or when its enforcement has become time-barred. The duration of ban on residence or compulsory residence in a particular location may not exceed a period of one (1) year.",en
120,Article 40: Imposition de la peine d'interdiction ou d'obligation de séjour,"A moins que la loi n'en dispose autrement, la juridiction peut ordonner l'interdiction ou l'obligation de séjour dans les cas suivants: 1° si une personne a été condamnée à un emprisonnement supérieur à cinq (5) ans; 2° si une personne qui, ayant été condamnée à un emprisonnement égal ou supérieur à six (6) mois, est condamnée de nouveau à un emprisonnement égal ou supérieur à six (6) mois dans un délai de cinq (5) ans après l'exécution de la première peine ou sa prescription. La durée de l'interdiction ou de l'obligation de séjour ne peut dépasser un (1) an.",fr
121,Ingingo ya 41: Ibarwa ry'igihano cyo kubuza cyangwa gutegeka kuba ahantu n'uburyo gishyirwa mu bikorwa,"Igihano cyo kubuza cyangwa gutegeka kuba ahantu gitangira ku itariki uwahamwe n'icyaha arangirijeho igihano cy'igifungo. Iyo uwakatiwe afunguwe by'agateganyo, igihano cyo kubuza cyangwa gutegeka kuba ahantu gitangira ku munsi afunguriweho. Iyo uwakatiwe afunguwe by'agateganyo yongeye gufungwa, igihe yamaze mu gihano cyo kubuzwa cyangwa gutegekwa kuba ahantu gikurwa mu gihano yakatiwe n'urukiko. Iteka rya Minisitiri ufite ubutabera mu nshingano ze rigena uburyo bwo gushyira mu bikorwa igihano cyo kubuza cyangwa gutegeka kuba ahantu.",rw
122,Article 41: Calculation of the term of the penalty of ban on residence or compulsory residence in a particular location and modalities for execution thereof,"The penalty of ban on residence or compulsory residence in a particular location commences on the day of completion of the penalty of imprisonment by the convict. If the convict is released on parole, the penalty of ban on residence or compulsory residence in a particular location commences on the day of release. If the convict released on parole is re-incarcerated, the period of ban on residence or compulsory residence in a particular location is deducted from the penalty imposed on him/her by the court. An Order of the Minister in charge of justice determines modalities for the execution of the penalty of ban on residence or compulsory residence in a particular location.",en
123,Article 41: Calcul de la durée de la peine d'interdiction ou d'obligation de séjour et modalités de son exécution,"La peine d'interdiction ou d'obligation de séjour commence à la date à laquelle le condamné finit de purger sa peine d'emprisonnement. Lorsque le condamné est libéré conditionnellement, l'interdiction ou l'obligation de séjour commence le jour de la mise en liberté. Lorsque le condamné libéré conditionnellement est réincarcéré, la durée de l'interdiction ou de l'obligation de séjour effectuée est déduite de la peine prononcée par la juridiction contre lui. Un arrêté du Ministre ayant la justice dans ses attributions détermine les modalités d'exécution de la peine d'interdiction ou d'obligation de séjour.",fr
124,Ingingo ya 42: Kwamburwa uburenganzira mboneragihugu,"Kwamburwa uburenganzira mboneragihugu ni: 1º gukurwa mu murimo wa Leta cyangwa kubuzwa kuwujyamo; 2º kubuzwa uburenganzira bwose cyangwa bumwe umuntu afite mu gihugu bwerekeye politiki; 3º kubuzwa uburenganzira bwo kwambara impeta z'ishimwe; 4º kutemererwa gutanga ubuhamya nk'umuhanga cyangwa nk'umutangabuhamya mu byemezo no mu manza, uretse kuba yatanga amakuru; 5º kutemererwa kuba mu bagize inama y'umuryango, umwishingizi, gushingwa ibintu, gusimbura umwishingizi, kureberera abadafite ubwenge buhagije, uretse gusa kubigirira abana be bwite; 6º kubuzwa uburenganzira bwo gutunga intwaro; 7º kubuzwa gukoresha urupapuro mvunjwafaranga cyangwa ikarita iguhesha amafaranga; 8º guhezwa mu masoko ya Leta; 9º kubuzwa uburenganzira bwo kujya mu mahanga; 10º kubuzwa imirimo imwe n'imwe yagenwa n'urukiko.",rw
125,Article 42: Deprivation of civic rights,"The deprivation of civic rights consists of the following: 1º removal or prohibition from any public service; 2º deprivation of all or part of political rights; 3º deprivation of the right to wear decorations of honour; 4º prohibition to act as an expert witness or a witness to deeds and to testify in court, except in case of providing information; 5º loss of legal capacity to act as a family council member, a guardian, a trustee, a guardian replacement, a guardian of intellectually disabled persons except in case of his/ her own children; 6º deprivation of the right to possess arms; 7º prohibition to use a negotiable instrument or a credit card; 8º debarment from participating in public procurement; 9º deprivation of the right to leave the national territory; 10º deprivation of the right to perform such functions as may be specified by the court.",en
126,Article 42: Dégradation civique,"La dégradation civique consiste en ce qui suit: 1° la destitution ou l'exclusion de tout emploi public; 2° la privation de tout ou partie des droits politiques; 3° la privation du droit de porter des décorations honorifiques; 4° l'incapacité d'être témoin expert ou témoin dans les actes et de déposer en justice autrement que pour donner des informations; 5° incapacité d'être membre de conseil de famille, tuteur, curateur, remplaçant de tuteur, tuteur des personnes à déficience mentale, excepté en cas de ses propres enfants ; 6° la privation du droit de détention d'armes; 7° l'interdiction d'utiliser un instrument négociable ou une carte de crédit; 8° l'exclusion de la participation à des marchés publics; 9° la privation du droit de sortie du territoire national ; 10° la privation du droit d'exercer certaines fonctions qui seraient déterminées par la juridiction.",fr
127,Ingingo ya 43: Itangwa ry'igihano cyo kwamburwa uburenganzira mboneragihugu,"Nta muntu ushobora kwamburwa icyarimwe uburenganzira mboneragihugu keretse ku bakatiwe igihano cy'igifungo cya burundu. Uretse ku bakatiwe igifungo cya burundu, kwamburwa uburenganzira mboneragihugu ntibishobora kurenga igihe cy'imyaka icumi (10). Kwamburwa uburenganzira mboneragihugu bishobora guhagarikwa, gukurwaho cyangwa kugabanywa, hakurikijwe ibiteganywa ku gihano cy'igifungo. Kwamburwa uburenganzira mboneragihugu, bishobora kuvanwaho iyo uwakatiwe yagiriye igihugu akamaro gahebuje cyangwa yaritangiye gutsura amajyambere y'abaturage.",rw
128,Article 43: Imposition of the penalty of deprivation of civic rights,"Except for persons sentenced to life imprisonment, no person may be deprived of all civic rights. With the exception of convicts sentenced to life imprisonment, deprivation of civic rights cannot exceed ten (10) years. The deprivation of civic rights may be suspended, lifted or reduced in the same manner as in the case of the penalty of imprisonment. The deprivation of civic rights may be lifted if the convict has performed an exceptional act of good citizenship or highly committed himself/herself to promoting social development.",en
129,Article 43: Imposition de la peine de dégradation civique,"Nul ne peut être dégradé de l'ensemble des droits civiques sauf pour des personnes condamnées à l'emprisonnement à perpétuité. A l'exception des condamnés à la peine d'emprisonnement à perpétuité, la dégradation civique ne peut excéder dix (10) ans. La dégradation civique peut être suspendue, levée ou réduite dans les mêmes conditions que pour la peine d'emprisonnement. La dégradation civique peut être levée si le condamné a accompli un acte de civisme exceptionnel ou s'il s'est hautement consacré à des œuvres de développement communautaire.",fr
130,Ingingo ya 44: Iyamburwa ry'uburenganzira mboneragihugu ku wakatiwe igihano cy'igifungo cya burundu,Igihano cy'igifungo cya burundu kijyana no kwamburwa ku buryo buhoraho uburenganzira mboneragihugu.,rw
131,Article 44: Deprivation of civic rights for a convict sentenced to the penalty of life imprisonment,Life imprisonment automatically entails the permanent deprivation of all civic rights.,en
132,Article 44: Dégradation civique pour un condamné à la peine d'emprisonnement à perpétuité,La peine d'emprisonnement à perpétuité entraîne de plein droit et de façon perpétuelle la dégradation de l'ensemble des droits civiques.,fr
133,Ingingo ya 45: Igihe igihano cyo kwamburwa uburenganzira mboneragihugu gishobora gutangwa,Kwamburwa uburenganzira mboneragihugu buteganywa mu ngingo ya 42 y'iri tegeko bishobora gutangwa bikongerwa ku gihano cy'iremezo cy'igifungo kingana cyangwa kirenze imyaka itanu (5).,rw
134,Article 45: Circumstances in which the penalty of deprivation of civic rights may be imposed,The deprivation of civic rights provided for in Article 42 of this Law may be imposed as an accessory penalty in addition to the principal penalty of imprisonment that is equal to or more than five (5) years.,en
135,Article 45: Circonstances dans lesquelles la peine de dégradation civique peut être imposée,La dégradation des droits civiques prévus par l'article 42 de la présente loi peut être imposée accessoirement à la peine principale égale ou supérieure à cinq (5) ans d'emprisonnement.,fr
136,Ingingo ya 46: Uburyo bw'itangazwa ry'igihano,Urukiko rushobora gutegeka gutangaza igihano cyatanzwe bikongerwa ku gihano cy'iremezo cy'igifungo kitari munsi y'imyaka itanu (5). Urukiko rugena uburyo bwo gutangaza igihano cyatanzwe.,rw
137,Article 46: Mode of publication of the penalty,The court may order publication of a penalty imposed as an accessory penalty in addition to the principal penalty of not less than five (5) years of imprisonment. The court determines the mode of publication of the imposed penalty.,en
138,Article 46: Mode de publication d'une peine,La juridiction peut ordonner la publication de la peine infligée accessoirement à une peine principale d'emprisonnement d'au moins cinq (5) ans. La juridiction détermine le mode de publication de la peine infligée.,fr
139,Ingingo ya 47: Iyubahirizwa ry'itegeko mu ica ry'urubanza,"Urukiko ruca urubanza rukurikije ibyo itegeko riteganya, kandi rugomba kugaragaza impamvu rwashingiyeho mu gufata icyemezo.",rw
140,Article 47: Compliance with the law during judgment,The court decides a case in accordance with the provisions of law and must state the basis of its decision.,en
141,Article 47: Respect de la loi dans le jugement,La juridiction prononce le jugement dans le respect des dispositions de la loi et doit énoncer les motivations qui justifient sa décision.,fr
142,Ingingo ya 48: Igabanyagihano,Nta cyaha gishobora kugabanyirizwa igihano keretse mu bihe no mu buryo buteganywa n'itegeko.,rw
143,Article 48: Penalty reduction,No penalty may be reduced except in cases and under circumstances provided by law.,en
144,Article 48: Réduction de la peine,Aucune peine ne peut être réduite sauf dans les cas et dans les circonstances prévues par la loi.,fr
145,Ingingo ya 49: Ibyo umucamanza akurikiza mu gutanga igihano,"Umucamanza atanga igihano akurikije uburemere bw'icyaha, ingaruka icyaha cyateye, impamvu zatumye agikora, uko uwagikoze yari asanzwe yitwara, imibereho ye bwite n'uburyo icyaha cyakozwemo. Iyo hari impurirane z'impamvu zashingirwaho, umucamanza agomba kwita ku rutonde rukurikira mu kugena igihano: 1º impamvu nkomezacyaha; 2º impamvu nyoroshyacyaha.",rw
146,Article 49: Factors taken into account by a judge in determining a penalty,"A judge determines a penalty according to the gravity, consequences of, and the motive for committing the offence, the offender's prior record and personal situation and the circumstances surrounding the commission of the offence. In the event of concurrence of grounds for judgment, the judge must consider the following while imposing a penalty: 1º aggravating circumstances; 2º mitigating circumstances.",en
147,Article 49: Éléments guidant le juge dans la détermination d'une peine,"Le juge détermine la peine sur base de la gravité de l'infraction, ses conséquences, en tenant compte de ses mobiles, des antécédents de la personne qui l'a commise, de sa situation personnelle et des circonstances qui ont entouré la commission de l'infraction. En cas de concours de circonstances de motivation du jugement, le juge impose la peine en tenant compte de ce qui suit: 1º circonstances aggravantes; 2º circonstances atténuantes.",fr
148,Ingingo ya 50: Igenwa ry'impamvu nkomezacyaha,Impamvu nkomezacyaha ziteganywa gusa n'itegeko. Umucamanza ubwe ntashobora kuzigena.,rw
149,Article 50: Determination of aggravating circumstances,Aggravating circumstances are exclusively provided for by law. The judge himself/herself cannot determine them.,en
150,Article 50: Détermination des circonstances aggravantes,Les circonstances aggravantes sont exclusivement prévues par la loi. Le juge ne peut les déterminer lui-même.,fr
151,Ingingo ya 51: Inkurikizi z'impamvu nkomezacyaha,Impamvu nkomezacyaha zongera uburemere bw'igihano mu buryo buteganywa n'itegeko.,rw
152,Article 51: Effects of aggravating circumstances,Aggravating circumstances increase the gravity of penalty as determined by law.,en
153,Article 51: Effets des circonstances aggravantes,Les circonstances aggravantes accroissent la gravité de la peine dans la manière fixée par la loi.,fr
154,Ingingo ya 52: Isubiracyaha n'uko rihanwa,"Ku byaha by'ubugome, isubiracyaha ribaho igihe cyose umuntu yongeye gukora icyaha nyuma yo gukatirwa mu rubanza rwabaye ndakuka. Ku byaha bikomeye, isubiracyaha ribaho iyo, kuva igihe umuntu yakatiwe mu rubanza rwabaye ndakuka kugeza mu gihe cy'imyaka itanu (5), ibarwa uhereye igihe igihano cyarangirijwe cyangwa se nyuma y'ubusaze bwacyo, yongeye gukora icyaha. Umuntu wese ugaragaweho isubiracyaha ahanishwa igihano ntarengwa cyateganyijwe n'itegeko kandi icyo gihano gishobora kongerwa kugeza ku nshuro ebyiri zacyo.",rw
155,Article 52: Recidivism and its punishment,"For felonies, recidivism occurs at any time when a person reoffends after conviction in a final judgment. For misdemeanours, recidivism occurs when a person convicted by final judgment, re-offends within five (5) years of completion of the sentence or after its prescription. Every recidivist receives the maximum penalty provided by law and such penalty may be doubled.",en
156,Article 52: Récidive et sa répression,"En cas de crimes, il y a récidive à tout moment où une personne commet de nouveau une infraction après avoir été condamnée dans un jugement devenu définitif. En cas de délits, il y a récidive lorsqu'une personne ayant été condamnée par un jugement définitif commet une nouvelle infraction dans un délai de cinq (5) ans à compter de la fin de l'exécution de la peine ou de sa prescription. Tout récidiviste est passible du maximum de la peine prévue par la loi et cette peine peut être portée au double.",fr
157,Ingingo ya 53: Igihe hatabaho isubiracyaha,"Nta subiracyaha ribaho iyo: 1º icyaha cya mbere ari icyaha cyoroheje; 2º igihano cyahanishijwe icyaha cya mbere cyahanaguwe n'imbabazi zitangwa n'itegeko cyangwa n'ihanagurabusembwa; 3º umuntu wahaniwe icyaha cya gisirikare, yongeye gukora icyaha cy'ubugome cyangwa gikomeye, keretse iyo igihano cya mbere cyatangiwe icyaha gishobora guhanishwa amategeko asanzwe y'ibihano.",rw
158,Article 53: Circumstances when there is no recidivism,There is no recidivism if: 1º the previous offence is a petty offence; 2º the penalty imposed on the previous offence was removed by amnesty or rehabilitation; 3º the person who was sentenced for a military offence re-commits a felony or a misdemeanour except if the previous penalty imposed for an offence that may be punished by ordinary penal laws.,en
159,Article 53: Cas d'impossibilité de la récidive,Il n'y a pas récidive lorsque: 1º l'infraction précédente est une contravention ; 2º la peine prononcée pour l'infraction précédente a été effacée par l'amnistie ou par la réhabilitation; 3º la personne condamnée pour une infraction militaire commet un nouveau crime ou délit sauf lorsque la première peine a été prononcée pour une infraction punissable par des lois pénales ordinaires.,fr
160,Ingingo ya 54: Ihanwa ry'umuntu ufite imyaka iri hagati ya cumi n'ine (14) na cumi n'umunani (18) y'amavuko,"Iyo uwahamwe n'icyaha yari afite nibura imyaka cumi n'ine (14) y'amavuko ariko atarageza ku myaka cumi n'umunani (18) mu gihe icyaha cyakorwaga, ibihano bitangwa ni ibi bikurikira: 1º igifungo cy'imyaka itari munsi y'icumi (10) ariko itarenga cumi n'itanu (15) iyo yari guhanishwa igifungo cya burundu; 2º igihano kidashobora kurenga kimwe cya kabiri (1/2) cy'igihano yagombaga guhanishwa, iyo yari guhanishwa igifungo kimara igihe kizwi cyangwa igihano cy'ihazabu. Ibihano bivugwa mu gika cya mbere cy'iyi ngingo ni nabyo bihabwa icyitso iyo cyari gifite nibura imyaka cumi n'ine (14) y'amavuko ariko kitarageza ku myaka cumi n'umunani (18) mu gihe icyaha cyakorwaga.",rw
161,Article 54: Punishment of a person aged between fourteen (14) and eighteen (18) years,"If the convict was at least fourteen (14) years of age but less than eighteen (18) years of age at the time of the commission of the offence, the following penalties apply: 1º imprisonment for a term of not less than ten (10) years and not more than fifteen (15) years if he/she would be subjected to a life imprisonment; 2º a penalty which cannot exceed half (1/2) of the penalty he/she would receive if he/she would be subjected to a fixed-term imprisonment or a fine. Penalties provided under Paragraph One of this Article also apply to an accomplice if the accomplice was at least fourteen (14) years of age but less than eighteen (18) years of age at the time of the commission of the offence.",en
162,Article 54: Imposition d'une peine contre une personne âgée de quatorze (14) à dix-huit (18) ans,"Lorsqu'une personne condamnée était âgée d'au moins quatorze (14) ans mais de moins de dix-huit (18) ans au moment de la commission de l'infraction, les peines à prononcer sont les suivantes: 1° un emprisonnement d'au moins dix (10) ans mais n'excédant pas quinze (15) ans, si elle devait encourir la peine d'emprisonnement à perpétuité; 2° une peine qui ne peut dépasser la moitié (1/2) de celle à laquelle elle devait être condamnée, si elle devait encourir une peine d'emprisonnement à durée déterminée ou d'une peine d'amende. Les peines visées à l'alinéa premier du présent article s'appliquent également à un complice lorsque ce dernier était âgé d'au moins quatorze (14) ans mais de moins de dix-huit (18) ans au moment de la commission de l'infraction.",fr
,,,
163,Ingingo ya 55: Ibihano mu gihe cy'ubusembure,"Ibihano ku cyaha biragabanywa, iyo uwagikoze yasembuwe.",rw
164,Article 55: Penalties in case of provocation,Penalties are reduced for offences committed under provocation.,en
165,Article 55: Peines en cas de provocation,Les peines sont réduites pour les infractions commises sous l'effet de la provocation.,fr
166,Ingingo ya 56: Kugaragaza mu rubanza ko habaye ubusembure,"Igihe habaye ubusembure, umucamanza agaragaza mu cyemezo cy'urukiko ingingo zerekana ko imyitwarire y'uwakorewe icyaha ari yo yatumye icyo cyaha gikorwa.",rw
167,Article 56: Indication of provocation in judgement,"In case of provocation, the judge states in the elements on which the judgment is based, facts that indicate that the victim's conduct caused the commission of the offence.",en
168,Article 56: Mention de la provocation dans le jugement,"Lorsqu'il y a eu provocation, le juge relève dans les éléments du jugement les faits indiquant que le comportement de la victime a été la cause de la commission de l'infraction.",fr
169,Ingingo ya 57: Igabanya ry'igihano mu gihe habaye ubusembure,"Iyo umucamanza yemeye impamvu zishingiye ku busemburwe bw'uwakoze icyaha, ibihano bigabanywa ku buryo bukurikira : 1º ku cyaha cy'ubugome gihanishwa igifungo cya burundu, igihano kiragabanywa kikaba igifungo kitari munsi y'imyaka ibiri (2) ariko kitarenze imyaka itanu (5); 2º ku cyaha cy'ubugome gihanishwa igifungo kitari munsi y'imyaka itanu (5) ariko kitarenze imyaka makumyabiri n'itanu (25), igihano kiragabanywa kikaba igifungo kitari munsi y'amezi atandatu (6) ariko kitarenze imyaka ibiri (2); 3º ku cyaha gikomeye, igihano kiragabanyuka kikaba igifungo kitari munsi y'iminsi umunani (8) ariko kitageze ku mezi atandatu (6); 4º ku cyaha cyoroheje, nta gihano gitangwa.",rw
170,Article 57: Reduction of a penalty in case of provocation,"If the judge is satisfied with elements that constitute provocation of the offender, penalties are reduced in the following proportions: 1º in case of a felony punishable by life imprisonment, the penalty is reduced to imprisonment for a term of not less than two (2) years and not more than five (5) years; 2º in case of a felony punishable by imprisonment of not less than five (5) years and not more than twenty-five (25) years, the penalty is reduced to imprisonment of not less than six (6) months and not more than two (2) years; 3º in case of a misdemeanour, the penalty is reduced to imprisonment of not less than eight (8) days but less than six (6) months; 4º in case of a petty offence, no penalty is imposed.",en
171,Article 57: Réduction de la peine en cas de provocation,"Lorsque le juge admet les éléments constituant la provocation de l'auteur, les peines sont réduites dans les proportions suivantes: 1° s'il s'agit d'un crime punissable de la peine d'emprisonnement à perpétuité, la peine est réduite à une peine d'emprisonnement d'au moins deux (2) ans mais n'excédant pas cinq (5) ans; 2° s'il s'agit d'un crime punissable de l'emprisonnement d'au moins cinq (5) ans mais n'excédant pas vingt-cinq (25) ans, la peine est réduite à un emprisonnement d'au moins six (6) mois mais n'excédant pas deux (2) ans ; 3° s'il s'agit d'un délit, la peine est réduite à un emprisonnement d'au moins huit (8) jours mais inférieure à six (6) mois; 4° s'il s'agit d'une contravention, aucune peine n'est imposée.",fr
172,Ingingo ya 58: Iyemerwa ry'impamvu nyoroshyacyaha zemezwa n'umucamanza,Umucamanza ubwe ni we ugena niba impamvu nyoroshyacyaha zemezwa n'umucamanza zahabwa agaciro. Kwemeza impamvu nyoroshyacyaha bigomba gusobanurwa mu cyemezo cy'urukiko.,rw
173,Article 58: Acceptance of mitigating circumstances decided by a judge,The judge assesses whether mitigating circumstances decided by a judge are admissible. The reasons for acceptance of mitigating circumstances must be stated in the judgment.,en
174,Article 58: Acceptation des circonstances atténuantes décidées par le juge,Le juge apprécie si les circonstances atténuantes décidées par le juge sont admissibles. L'acceptation des circonstances atténuantes doit être motivée dans le jugement.,fr
175,Ingingo ya 59: Zimwe mu mpamvu nyoroshyacyaha zemezwa n'umucamanza,"Umucamanza ashobora kugabanya ibihano nk'iyo: 1º ushinjwa, mbere yo gukurikiranwa, yemeye icyaha akagisabira imbabazi uwo yakoreye icyaha n'umuryango nyarwanda mu buryo budashidikanywa, akicuza kandi akishyura ibyo yangije nk'uko bari babimutegerejeho; 2º ushinjwa yishyikirije urwego rw'ubutabera rubifitiye ububasha, mbere y'uko akurikiranwa cyangwa se mu gihe hatangiye ibikorwa by'ikurikirana; 3º mu ntangiriro z'iburanisha ku rwego rwa mbere, ushinjwa yireze akemera icyaha mu buryo budashidikanywa; 4º icyaha cyakozwe nta ngaruka zikomeye cyateje.",rw
176,Article 59: Certain mitigating circumstances decided by a judge,"The judge may reduce penalties, especially when: 1º the accused, before the commencement of prosecution, pleads guilty and sincerely seek forgiveness from the victim and the Rwandan society and expresses remorse and repairs the damage caused as much as would be expected from him/her; 2º the accused turns himself/herself in to competent judicial authority before or during the pre-trial proceedings; 3º at the outset of the trial in the first instance, the accused pleads guilty by a sincere confession; 4º the offence has minor consequences.",en
177,Article 59: Quelques circonstances atténuantes décidées par le juge,"Le juge peut alléger les peines notamment lorsque: 1º le prévenu, avant le déclenchement des poursuites, plaide coupable et demande pardon à la victime et à la société rwandaise de manière sincère, en exprimant son repentir et en réparant le dommage qu'il a causé autant qu'on pouvait l'attendre de lui; 2º le prévenu se remet à l'autorité judiciaire compétente avant ou pendant la poursuite de l'instruction préparatoire; 3º dès l'ouverture des débats au premier degré le prévenu plaide coupable en présentant des aveux sincères; 4º les conséquences de l'infraction sont minimes.",fr
178,Ingingo ya 60: Igabanya ry'igihano mu gihe hari impamvu zigabanya ububi bw'icyaha zemezwa n'umucamanza,"Iyo hari impamvu zigabanya ububi bw'icyaha, ibihano bishobora kugabanywa ku buryo bukurikira: 1º haseguriwe ibiteganywa mu ngingo ya 107 igihano cyo gufungwa burundu gishobora kugabanywa ariko ntikijye munsi y'imyaka makumyabiri n'itanu (25); 2º igihano cy'igifungo kimara igihe kizwi cyangwa ihazabu bishobora kugabanywa ariko ntibijye munsi y'igihano gito ntarengwa giteganyirijwe icyaha cyakozwe.",rw
179,Article 60: Reduction of penalties in cases of mitigating circumstances decided by a judge,"If there are mitigating circumstances, penalties may be reduced as follows: 1º subject to the provisions of Article 107 life imprisonment may be reduced but it cannot be less than twenty-five (25) years; 2º a fixed-term imprisonment or a fine may be reduced but it cannot be less than the minimum sentence provided for the offence committed.",en
180,Article 60: Réduction des peines en cas de circonstances atténuantes décidées par le juge,"S'il existe des circonstances atténuantes, les peines peuvent être réduites comme suit: 1 º sous réserve des dispositions de l'article 107, la peine d'emprisonnement à perpétuité peut être réduite mais ne peut aller en dessous de vingt-cinq (25) ans; 2 º la peine d'emprisonnement à durée déterminée ou la peine d'amende peuvent être réduites mais sans aller en dessous du minimum de la peine prévue pour l'infraction commise.",fr
181,Ingingo ya 61: Igisobanuro cy'impurirane y'ibyaha,"Haba impurirane y'ibyaha iyo umuntu umwe (1) yakoze ibyaha byinshi kandi nta na kimwe muri byo cyaciriwe urubanza rwabaye ndakuka. Impurirane y'ibyaha ishobora kuba mbonezamugambi cyangwa mbonezabyaha. Impurirane mbonezamugambi ibaho iyo: 1 º igikorwa kimwe ubwacyo gikubiyemo ibyaha byinshi; 2 º ibikorwa bitandukanye bigize ubwabyo ibyaha bitandukanye, bihujwe n'uko bigamije umugambi w'icyaha kimwe. Impurirane mbonezabyaha ibaho iyo ibikorwa bitandukanye ubwabyo byakozwe bikurikirana kandi bikabyara ibyaha bidafitanye isano.",rw
182,Article 61: Definition of concurrence of offences,"Concurrence of offences occurs when one (1) person commits many offences, none of which has been the subject of a definitive judgment. Concurrence of offences may be ideal or real. Ideal concurrence of offences occurs when: 1º a single act constitutes several offences; 2º separate acts which constitute separate offences, are related among themselves as they are aimed at accomplishing a single criminal intent. Real concurrence of offences arises when materially separate acts occur one after another and result in separate offences.",en
183,Article 61: Définition du concours d'infractions,"Il y a concours d'infractions lorsqu'une (1) personne commet plusieurs infractions sans qu'aucune condamnation définitive ne soit intervenue pour l'une de ces infractions. Le concours d'infractions peut être idéal ou réel. Il y a concours idéal d'infractions lorsque: 1º le même fait constitue plusieurs infractions ; 2º des faits distincts qui, constituant des infractions distinctes, sont unis entre eux par le fait qu'ils visent une intention délictueuse unique. Il y a concours réel d'infractions lorsque les faits distincts au point de vue matériel, se sont succédés et ont constitué des infractions distinctes.",fr
